layer,pair_id,delta_h_norm,projected_norm,ratio,d_fr_scrubbed
6,1,3.324615955352783,25.619611740112305,0.02054384150307021,
6,2,3.5831966400146484,26.031538009643555,0.019367777297093398,
6,3,4.277350425720215,31.578710556030273,0.019682042158394433,
6,4,7.847929000854492,62.070804595947266,0.02108545156956302,
6,5,6.863931655883789,48.61663818359375,0.018882633788688846,
6,6,6.949875354766846,51.104610443115234,0.01960350208733538,
6,7,6.542065620422363,46.57975387573242,0.01898160318738599,
6,8,6.632132530212402,48.85414505004883,0.019638070650760023,
6,9,6.746664524078369,48.85620880126953,0.019305508458062594,
6,10,6.596044540405273,47.94789505004883,0.019379232057777886,
6,11,5.691085338592529,44.19606399536133,0.020703276988120405,
6,12,4.9620442390441895,39.32683563232422,0.021129001206671317,
6,13,4.353709697723389,31.684743881225586,0.019401769042941424,
6,14,4.945035457611084,37.29756546020508,0.02010766641216558,
6,15,5.606137275695801,40.91347885131836,0.019455987460455362,
7,0,5.706484317779541,40.51054000854492,0.018925614999736575,
7,1,5.086891174316406,41.57826614379883,0.02179036600064515,
7,2,5.444444179534912,40.22157287597656,0.019695005077896278,
7,3,5.5601420402526855,39.88386917114258,0.019123262806847657,
7,4,9.480024337768555,71.16339874267578,0.02001233785444293,
7,5,8.202611923217773,58.90460968017578,0.019144662489827897,
7,6,8.475935935974121,61.33584976196289,0.01929200286492358,
7,7,8.379419326782227,62.836692810058594,0.01999171224441953,
7,8,8.03474235534668,57.03096008300781,0.018922971027052496,
7,9,7.6852850914001465,54.90626907348633,0.019046384533988943,
7,10,8.344673156738281,59.90888595581055,0.019139584677779858,
7,11,7.165806293487549,54.42440414428711,0.020247864023134825,
7,12,6.134364604949951,50.5824089050293,0.021982674003852867,
7,13,4.8736572265625,35.123069763183594,0.01921268586433809,
7,14,5.836959362030029,43.533233642578125,0.01988313470419666,
7,15,6.029086589813232,43.14692306518555,0.01907870556979257,
8,0,7.070164203643799,50.4515495300293,0.019023727035708596,
8,1,6.145940780639648,51.46295928955078,0.02232322730420925,
8,2,6.939731597900391,52.283973693847656,0.02008521617262102,
8,3,6.887487888336182,48.83267593383789,0.01890167415154969,
8,4,10.826343536376953,77.74154663085938,0.019143527629743844,
8,5,9.512943267822266,70.35531616210938,0.01971662647825505,
8,6,10.39681339263916,76.33617401123047,0.019574051962076892,
8,7,9.970852851867676,72.82803344726562,0.019472282998525447,
8,8,9.035052299499512,64.35222625732422,0.01898818707509084,
8,9,8.718805313110352,62.913875579833984,0.019237120072451368,
8,10,10.268292427062988,75.04884338378906,0.019484818825606008,
8,11,8.465510368347168,64.75463104248047,0.02039239731044426,
8,12,8.36461067199707,59.353702545166016,0.018917018169172746,
8,13,6.985759735107422,49.7434196472168,0.01898333841624382,
8,14,8.346051216125488,59.48969268798828,0.01900252343332291,
8,15,7.659438133239746,54.28648376464844,0.018894934756437186,
9,0,8.195693016052246,59.45465850830078,0.019339747649176047,
9,1,6.998265743255615,53.98141860961914,0.0205638515677738,
9,2,8.03311824798584,63.2078971862793,0.020976729566758737,
9,3,8.112595558166504,61.7112922668457,0.020279414509471905,
9,4,11.61665153503418,83.71272277832031,0.019211492361854637,
9,5,10.243016242980957,77.89237213134766,0.020272983429458765,
9,6,11.466165542602539,91.42423248291016,0.02125659569489998,
9,7,10.586410522460938,80.65319061279297,0.02031063110162556,
9,8,10.08635139465332,74.67835235595703,0.01973836746662979,
9,9,10.175240516662598,75.57740020751953,0.019801489583587486,
9,10,11.235321044921875,85.45977020263672,0.020278079937142875,
9,11,9.585951805114746,85.32647705078125,0.02373007826066272,
9,12,9.695503234863281,66.85797119140625,0.018383721618401464,
9,13,7.982117176055908,57.20841598510742,0.01910699636072139,
9,14,9.050155639648438,62.75178527832031,0.0184850502151105,
9,15,8.149394035339355,59.63005828857422,0.019507001328518795,
