pair_id,fin_idx,nat_idx,layer,cosine_dist,l2_dist,l2_relative,norm_A,norm_B
2,0,2,31,0.006248593330383301,19.726573944091797,0.11189836971492462,176.72341918945312,175.8567657470703
2,0,2,32,0.0061283111572265625,8.030461311340332,0.11118783275609219,72.59691619873047,71.85164642333984
3,0,3,0,1.1920928955078125e-07,0.0,0.0,1.4634196758270264,1.4634196758270264
3,0,3,1,0.000611722469329834,0.6007829308509827,0.03498290924762873,17.17969512939453,17.167530059814453
3,0,3,2,0.000996232032775879,1.1477996110916138,0.04465337103411543,25.688745498657227,25.720569610595703
3,0,3,3,0.0011764168739318848,1.442669153213501,0.04859135810650139,29.73265838623047,29.647001266479492
3,0,3,4,0.0026488900184631348,2.4229941368103027,0.07312139806329537,33.25234603881836,33.020843505859375
3,0,3,5,0.0036662817001342773,3.1721291542053223,0.08689447983041486,36.775272369384766,36.23579025268555
3,0,3,6,0.005671381950378418,4.277352333068848,0.10799595420506092,39.961448669433594,39.251747131347656
3,0,3,7,0.00770193338394165,5.560142993927002,0.12608650660013832,44.588775634765625,43.606910705566406
3,0,3,8,0.0100785493850708,6.887490272521973,0.14344979290915513,48.506874084472656,47.51961898803711
3,0,3,9,0.0123976469039917,8.112598419189453,0.1595762669481909,51.497982025146484,50.17877197265625
3,0,3,10,0.016158461570739746,10.086365699768066,0.18082682745814438,56.32610321044922,55.23218536376953
3,0,3,11,0.016802310943603516,10.702705383300781,0.18467536425440856,58.60508346557617,57.3032341003418
3,0,3,12,0.01699066162109375,11.200006484985352,0.18499545563049885,61.0148811340332,60.069244384765625
3,0,3,13,0.01998436450958252,12.865601539611816,0.2009934204433483,64.67664337158203,63.343482971191406
3,0,3,14,0.020359516143798828,13.351441383361816,0.20265612974530875,66.50228118896484,65.26221466064453
3,0,3,15,0.01977616548538208,13.753477096557617,0.1996029799122108,69.49285125732422,68.31548309326172
3,0,3,16,0.017786085605621338,13.243670463562012,0.18879180434185144,70.44474029541016,69.8544692993164
3,0,3,17,0.015346527099609375,13.300049781799316,0.17519546082364265,75.90017700195312,75.9308090209961
3,0,3,18,0.013172507286071777,12.83988094329834,0.16240158567819607,78.84766387939453,79.27740478515625
3,0,3,19,0.011364161968231201,12.538545608520508,0.15100232716645248,82.67880249023438,83.39208984375
3,0,3,20,0.009875178337097168,12.294014930725098,0.14090393958885528,86.80567169189453,87.69640350341797
3,0,3,21,0.008942782878875732,12.454107284545898,0.13408919388633322,92.42729187011719,93.33126068115234
3,0,3,22,0.00771176815032959,12.459442138671875,0.12461732982301396,99.46660614013672,100.49662780761719
3,0,3,23,0.006747722625732422,12.488948822021484,0.11661877876573425,106.54383087158203,107.64035034179688
3,0,3,24,0.005902707576751709,12.784058570861816,0.10896203169325838,116.8432388305664,117.80838012695312
3,0,3,25,0.0055945515632629395,13.266305923461914,0.10587347609940753,125.022216796875,125.5845718383789
3,0,3,26,0.00540924072265625,14.012215614318848,0.10408657794207474,134.35659790039062,134.88494873046875
3,0,3,27,0.005217194557189941,14.638694763183594,0.10221226954437963,142.95875549316406,143.47837829589844
3,0,3,28,0.005314052104949951,15.718875885009766,0.10309680034327161,152.39312744140625,152.5411834716797
3,0,3,29,0.0062694549560546875,17.843875885009766,0.11207837077078112,159.5884246826172,158.82940673828125
3,0,3,30,0.006100893020629883,18.93762969970703,0.11061823521481866,171.70069885253906,170.69546508789062
3,0,3,31,0.005883634090423584,19.341209411621094,0.10853683258933684,178.51956176757812,177.8794403076172
